station,latitude,longitude
091030,38.9277778,-75.1000000
091028,39.0830556,-75.1916667
091026,39.1731944,-75.2812778
091023,39.2055556,-75.3594444
091020,39.3013889,-75.3819444
091017,39.3758333,-75.4680556
091015,39.4550000,-75.5600000
091002,39.5127778,-75.5533333
091005,39.5908333,-75.5636111
091008,39.6547222,-75.5466667
091011,39.7197222,-75.5066667
332046,39.7683333,-75.4738889
332049,39.8000000,-75.4263889
892062,39.8466667,-75.3383333
332052,39.8505556,-75.2647222
892065,39.8816667,-75.1788889
892071,39.9527778,-75.1372222
892070,39.9844444,-75.0675000
892077,40.0400000,-74.9888889
892080,40.0811111,-74.8700000
332064,40.1244444,-74.8319444
332068,40.1833333,-74.7527778
