station,latitude,longitude,median_chla,n,region
091030,38.9277778,-75.1,5.55,157,Bay
091028,39.0830556,-75.1916667,12.25,154,Bay
091026,39.1731944,-75.2812778,13.8,153,Bay
091023,39.2055556,-75.3594444,9.99,153,Bay
091020,39.3013889,-75.3819444,7.75,99,Transitional
091017,39.3758333,-75.4680556,4.765000000000001,104,Estuarine Turbidity Maximum
091015,39.455,-75.56,5.17,99,Estuarine Turbidity Maximum
091002,39.5127778,-75.5533333,6.25,99,Estuarine Turbidity Maximum
091005,39.5908333,-75.5636111,5.72,99,Estuarine Turbidity Maximum
091008,39.6547222,-75.5466667,6.96,99,Estuarine Turbidity Maximum
091011,39.7197222,-75.5066667,7.18,153,Estuarine Turbidity Maximum
332046,39.7683333,-75.4738889,9.04,99,Upper River
332049,39.8,-75.4263889,9.32,99,Upper River
892062,39.8466667,-75.3383333,9.81,99,Upper River
332052,39.8505556,-75.2647222,8.09,99,Upper River
892065,39.8816667,-75.1788889,7.23,149,Upper River
892071,39.9527778,-75.1372222,6.46,95,Upper River
892070,39.9844444,-75.0675,5.35,95,Upper River
892077,40.04,-74.9888889,6.08,95,Upper River
892080,40.0811111,-74.87,3.93,95,Upper River
332064,40.1244444,-74.8319444,3.295,148,Upper River
332068,40.1833333,-74.7527778,3.0,148,Upper River
