longitude,latitude,sq_error,RMSE_C
88.25,24.45,7.692601656920597,2.773553975844097
88.25,24.7,8.000356817745564,2.8284902011047457
88.25,25.95,8.986090350053173,2.997680828582852
88.5,24.45,8.45467584801797,2.9076925298280716
88.5,24.7,9.06053105673259,3.010071603256738
88.5,24.95,9.11660824612917,3.01937216091842
88.5,25.2,9.121389727653561,3.0201638577490395
88.5,25.7,9.179311868383785,3.029737920742285
88.5,25.95,9.879468486291916,3.143162179444757
88.5,26.2,8.745924799233736,2.9573509766738435
88.5,26.45,7.718675374124894,2.778250416021726
88.75,23.7,7.627094128749876,2.761719415282783
88.75,23.95,8.239951087714063,2.8705314991677175
88.75,24.2,7.850572119958156,2.801887242548878
88.75,24.45,8.119946868515285,2.8495520469918225
88.75,24.7,8.248446245950836,2.8720108366701607
88.75,24.95,8.022117461391895,2.832334277833726
88.75,25.7,8.750165152146792,2.9580678072259925
88.75,25.95,9.6744082033193,3.1103710716439124
88.75,26.2,8.909511201124786,2.984880433304622
89.0,22.45,6.644642033554065,2.5777203171705936
89.0,22.7,6.870020405165886,2.621072376941523
89.0,22.95,7.205960466267891,2.6843920105431494
89.0,23.2,7.503572872399903,2.7392650241259795
89.0,23.45,7.847398741532569,2.8013208922814554
89.0,23.7,7.849255447238732,2.8016522709356226
89.0,23.95,8.096787400343384,2.845485441948945
89.0,24.2,8.070088199610801,2.8407900660926706
89.0,24.45,7.711096302291178,2.7768860801788717
89.0,24.7,7.805030288817751,2.7937484297655995
89.0,24.95,7.812092108248815,2.795012005027673
89.0,25.2,8.014668136857987,2.83101892202401
89.0,25.45,8.330960390022142,2.8863403108473094
89.0,25.7,8.297096716490039,2.8804681418981253
89.0,25.95,9.3384993749642,3.055895838369528
89.0,26.2,7.162542827975395,2.6762927395887384
89.25,21.7,4.598286681037467,2.144361602211126
89.25,21.95,5.71243053268811,2.3900691480976257
89.25,22.2,6.30004307642542,2.5099886606169
89.25,22.45,6.985907111779473,2.6430866636906694
89.25,22.7,7.121297773677608,2.668575982369175
89.25,22.95,7.266461177679195,2.6956374343889786
89.25,23.2,7.61394373673129,2.7593375539667653
89.25,23.45,8.061043668958364,2.839197715721532
89.25,23.7,8.188635644282458,2.8615792220874225
89.25,23.95,8.036581612212842,2.8348865254561497
89.25,24.2,7.8752954245287885,2.806295676604443
89.25,24.45,7.566946496089445,2.75080833503344
89.25,24.7,7.5541532654894255,2.7484819929352686
89.25,24.95,7.549881458795086,2.7477047619413346
89.25,25.2,7.310713328147759,2.7038330806741304
89.25,25.45,7.497300847038806,2.738119947525821
89.25,25.7,7.83779437926067,2.799606111448657
89.25,25.95,8.840012914026497,2.9732159211914793
89.5,21.95,4.775848704444697,2.1853715254950807
89.5,22.2,5.550374375593763,2.355923253332706
89.5,22.45,6.475676089528695,2.544734974320252
